,timestamp,close,high,low,trade_count,open,volume,vwap
0,2022-01-03 05:00:00+00:00,182.01,182.88,177.71,772699,177.83,112486091,181.426035
1,2022-01-04 05:00:00+00:00,179.7,182.94,179.12,831898,182.64,106090378,180.522931
2,2022-01-05 05:00:00+00:00,174.92,180.17,174.64,848518,179.61,95142198,177.303173
3,2022-01-06 05:00:00+00:00,172.0,175.3,171.64,960344,172.7,103899632,173.013218
4,2022-01-07 05:00:00+00:00,172.17,174.14,171.03,715419,172.89,94554334,172.42386
5,2022-01-10 05:00:00+00:00,172.19,172.5,168.17,956342,169.08,117005143,170.416141
6,2022-01-11 05:00:00+00:00,175.08,175.18,170.82,649657,172.32,82100070,173.716365
7,2022-01-12 05:00:00+00:00,175.53,177.18,174.82,642760,176.12,79502421,175.820752
8,2022-01-13 05:00:00+00:00,172.19,176.62,171.79,692346,175.79,92057866,173.84549
9,2022-01-14 05:00:00+00:00,173.07,173.78,171.09,671723,171.34,87780214,172.408576
10,2022-01-18 05:00:00+00:00,169.8,172.54,169.405,780905,171.51,102183802,170.47907
11,2022-01-19 05:00:00+00:00,166.23,171.08,165.94,824027,170.0,101688620,168.188614
12,2022-01-20 05:00:00+00:00,164.51,169.68,164.18,795590,166.98,96630645,166.95013
13,2022-01-21 05:00:00+00:00,162.41,166.33,162.3,1076049,164.415,135494794,163.80471
14,2022-01-24 05:00:00+00:00,161.62,162.3,154.7,1632715,160.02,175317276,158.878514
15,2022-01-25 05:00:00+00:00,159.78,162.76,157.02,1008312,158.98,125389277,159.448219
16,2022-01-26 05:00:00+00:00,159.69,164.3894,157.82,1017760,163.5,116338085,161.325783
17,2022-01-27 05:00:00+00:00,159.22,163.84,158.28,1161009,162.45,127009128,161.233132
18,2022-01-28 05:00:00+00:00,170.33,170.35,162.8,1515438,165.71,189144340,167.426938
19,2022-01-31 05:00:00+00:00,174.78,175.0,169.51,933488,170.16,129780591,173.291919
20,2022-02-01 05:00:00+00:00,174.61,174.84,172.31,735253,174.01,93258667,173.765688
21,2022-02-02 05:00:00+00:00,175.84,175.88,173.33,676311,174.745,91306986,174.992988
22,2022-02-03 05:00:00+00:00,172.9,176.2399,172.12,724841,174.48,101382628,174.219507
23,2022-02-04 05:00:00+00:00,172.39,174.1,170.68,702279,171.68,88456689,172.314726
24,2022-02-07 05:00:00+00:00,171.66,173.9458,170.95,571413,172.86,83181695,172.394594
25,2022-02-08 05:00:00+00:00,174.83,175.35,171.43,634270,171.73,80979959,173.87015
26,2022-02-09 05:00:00+00:00,176.28,176.65,174.9,574000,176.05,78287149,175.867118
27,2022-02-10 05:00:00+00:00,172.12,175.48,171.55,761966,174.14,99694816,173.429712
28,2022-02-11 05:00:00+00:00,168.64,173.08,168.04,813527,172.33,106268657,170.105503
29,2022-02-14 05:00:00+00:00,168.88,169.58,166.56,757494,167.37,98885501,168.440931
30,2022-02-15 05:00:00+00:00,172.79,172.95,170.25,562857,170.97,71066887,171.750362
31,2022-02-16 05:00:00+00:00,172.55,173.34,170.05,543039,171.85,66147855,171.709159
32,2022-02-17 05:00:00+00:00,168.88,171.91,168.47,584120,171.03,78321659,170.051567
33,2022-02-18 05:00:00+00:00,167.3,170.5413,166.19,685816,169.82,92631965,167.836915
34,2022-02-22 05:00:00+00:00,164.32,166.69,162.15,897221,164.98,98811382,164.546116
35,2022-02-23 05:00:00+00:00,160.24,166.15,159.75,820316,165.54,98884474,162.003718
36,2022-02-24 05:00:00+00:00,162.51,162.85,152.0,1383832,152.58,155570846,158.231295
37,2022-02-25 05:00:00+00:00,164.85,165.12,160.8738,810830,163.84,97758401,163.8441
38,2022-02-28 05:00:00+00:00,165.12,165.42,162.43,791490,163.06,108908921,164.359978
39,2022-03-01 05:00:00+00:00,163.2,166.6,161.97,749658,164.695,90604732,164.09501
40,2022-03-02 05:00:00+00:00,166.56,167.36,162.95,668264,164.39,88692844,165.874038
41,2022-03-03 05:00:00+00:00,166.23,168.91,165.55,651766,168.47,82418843,166.885762
42,2022-03-04 05:00:00+00:00,163.17,165.55,162.1,742704,164.49,91169381,163.388073
43,2022-03-07 05:00:00+00:00,159.3,165.02,159.04,847060,163.36,107385155,161.228724
44,2022-03-08 05:00:00+00:00,157.44,162.88,155.8,1139156,158.82,140524583,158.695921
45,2022-03-09 05:00:00+00:00,162.95,163.41,159.41,733689,161.475,100505467,162.023601
46,2022-03-10 05:00:00+00:00,158.52,160.39,155.98,882864,160.2,114471979,158.079271
47,2022-03-11 05:00:00+00:00,154.73,159.28,154.5,877964,158.93,105127762,156.077568
48,2022-03-14 04:00:00+00:00,150.62,154.12,150.1,969361,151.45,118311989,151.605237
49,2022-03-15 04:00:00+00:00,155.09,155.57,150.38,719960,150.9,104410428,153.613036
50,2022-03-16 04:00:00+00:00,159.59,160.0,154.46,833070,157.05,112719986,157.813513
51,2022-03-17 04:00:00+00:00,160.62,161.0,157.63,629006,158.61,85152570,159.541565
52,2022-03-18 04:00:00+00:00,163.98,164.48,159.76,712906,160.51,159428842,162.652613
53,2022-03-21 04:00:00+00:00,165.38,166.35,163.015,721127,163.51,105787821,164.782739
54,2022-03-22 04:00:00+00:00,168.82,169.42,164.91,638945,165.51,89161727,168.261566
55,2022-03-23 04:00:00+00:00,170.21,172.64,167.65,784483,167.99,106073373,170.731656
56,2022-03-24 04:00:00+00:00,174.07,174.14,170.21,688104,171.06,97014668,172.379423
57,2022-03-25 04:00:00+00:00,174.72,175.28,172.75,662446,173.88,85692924,174.058724
58,2022-03-28 04:00:00+00:00,175.6,175.73,172.0,716110,172.17,97532618,174.405659
59,2022-03-29 04:00:00+00:00,178.96,179.01,176.34,775948,176.69,109295753,177.920254
60,2022-03-30 04:00:00+00:00,177.77,179.61,176.7,695867,178.55,100735340,178.099618
61,2022-03-31 04:00:00+00:00,174.61,178.03,174.4,716274,177.84,120024146,175.71811
62,2022-04-01 04:00:00+00:00,174.31,174.88,171.94,660449,174.03,85355694,173.481537
63,2022-04-04 04:00:00+00:00,178.44,178.49,174.44,630376,174.57,82875862,177.531492
